Loaded COCO training data with 118287 samples.
Use load_from_local loader
Model loaded. Beginning run
2021:11:04 22:12:43:    0.008% complete
2021:11:04 22:15:48:    0.017% complete
2021:11:04 22:18:55:    0.025% complete
2021:11:04 22:21:55:    0.034% complete
2021:11:04 22:24:59:    0.042% complete
2021:11:04 22:27:58:    0.051% complete
2021:11:04 22:31:00:    0.059% complete
2021:11:04 22:33:53:    0.068% complete
2021:11:04 22:36:54:    0.076% complete
2021:11:04 22:39:57:    0.085% complete
2021:11:04 22:43:01:    0.093% complete
2021:11:04 22:46:01:    0.101% complete
2021:11:04 22:49:07:    0.11% complete
2021:11:04 22:52:13:    0.118% complete
2021:11:04 22:55:16:    0.127% complete
2021:11:04 22:58:17:    0.135% complete
2021:11:04 23:01:20:    0.144% complete
2021:11:04 23:04:20:    0.152% complete
2021:11:04 23:07:19:    0.161% complete
2021:11:04 23:10:20:    0.169% complete
2021:11:04 23:13:21:    0.178% complete
2021:11:04 23:16:25:    0.186% complete
2021:11:04 23:19:29:    0.194% complete
2021:11:04 23:22:34:    0.203% complete
2021:11:04 23:25:40:    0.211% complete
2021:11:04 23:28:43:    0.22% complete
2021:11:04 23:31:46:    0.228% complete
2021:11:04 23:34:44:    0.237% complete
2021:11:04 23:37:43:    0.245% complete
2021:11:04 23:40:39:    0.254% complete
2021:11:04 23:43:41:    0.262% complete
2021:11:04 23:46:45:    0.271% complete
2021:11:04 23:49:45:    0.279% complete
2021:11:04 23:52:46:    0.287% complete
2021:11:04 23:55:49:    0.296% complete
2021:11:04 23:58:54:    0.304% complete
2021:11:05 00:01:54:    0.313% complete
2021:11:05 00:04:50:    0.321% complete
2021:11:05 00:07:51:    0.33% complete
2021:11:05 00:10:49:    0.338% complete
2021:11:05 00:13:49:    0.347% complete
2021:11:05 00:16:52:    0.355% complete
2021:11:05 00:19:52:    0.364% complete
2021:11:05 00:22:54:    0.372% complete
2021:11:05 00:25:53:    0.38% complete
2021:11:05 00:28:53:    0.389% complete
2021:11:05 00:31:56:    0.397% complete
